Word,PartsOfSpeech,Synonyms,Usage,Antonyms,RelatedPartsOfSpeech,
abate,v.,to diminish intensity; subside; moderate,Hurricane abated to storm,,,
abdicate,v.,renounce; give up; ,abdicated the throne,,,
aberrant,adj.,anomaly; deviating from standard type,,,,
abeyance,n.,suspension,,,,
abhor,v.,hate; detest,abhor bigotry ,,,
abide,v.,conform; comply with; obey; observe,abide by law,,,
abjure,v.,to reject; renounce upon oath; withdraw; take back; retract; disavow,I was compelled to retract my changes due to a bug.,accept,,
abolish,v.,put an end to; cancel,,,,
abrasive,adj.,rubbing away; tending to grind down,,,,
abridge,v.,shorten; concise,,,,
abridge,v.,condense; shorten; reduce; lessen,,,,
abscond,v.,to leave secretly; evading detection; ,Prisoner absconded from jail,,,
absolution,n.,pardoning; forgiveness,,,,
absolve,v.,clear from blame; exonerate; acquit,,,,
abstain,v.,to voluntarily refrain from doing something; desist from; avoid; hold back,Abstain from Worldly things to meet God,,,
abstemious,adj.,sparing in eating; temperate,Abstemious diet can make you weak.,,,
acme,n.,peak; pinnacle ,Winning Nobel prize is the acme of his career.,,,
acumen,n.,keen judgement and perception,,,,
adept,adj.,expert at,,inept,,
adhere,v.,stick fast; ,I will adhere to this opinion until proof is provided.,,,
admonish,v.,mildly scold; to advise firmly; rebuke; reprove; blame; criticize; warn,,,,
adorn,v.,decorate,,,,
adroit,adj.,skillful,adroit handling of the situation ,,,
adulterate,v.,to contaminate by adding something inferior; degrade; taint; contaminate,,,,
advent,n.,arrival,,,,
adversary,n.,opponent,,,,
adversity,n.,poverty; misfortune,,,,
advocacy,n.,support; active pleading,,,advocate (v.),
aesthetic,adj,artistic; concerned with the nature of beauty and art,,,,
affable,adj.,warmly; friendly; easily approachable ,,,,
affectation,n.,fake or artificial behavior; pretension,,,,
affected,adj.,artificial; fake; pretense; pose,affected mannerism with fake Harvard accent,,affectation (n.),
aggrandize,v.,grow; raise in power; increase in intensity; exaggerate; enlarge or increase (in wealth; power),Opportunity to aggrandize his wealth.,,,
aggregate,v.,gather together,,,,
alacrity,n.,cheerful promptness; eagerness; quickness; readiness,She rose with alacrity and moved away,,,
alineate,v.,make hostile; separate,,,,
alleviate,v.,lessen; to relieve a problem or ease a burden,Medicine must alleviate the pain,,,
amalgamate,v.,to combine or mix together,,,,
ambiguous,adj.,unclear; hard to understand; open to mutliple interpretations,,,,
ambivalent,adj.,having mixed or contradictory feelings about someone or something; uncertain; unable to understand,,,,
ameliorate,v.,mitigate; to improve or mitigate a situation,ameliorate the pain and sufferings,,,
amenable,adj.,readily or easily managed; easily convinced or persuaded; obediant; docile; malleable,Women are more amenable to compromise than men.,,,
amicable,adj.,friendly; amiable,,,,
anachronism,n.,old fashioned; belonging to a different period than portrayed ,Reference in clock in Jesus's time is an example of anachronism.,,anachronistic (adj.),
analogous,adj.,comparable; appropriate for analogy,Leader attracted attention by referring what was done in an earlier analogous situation.,,,
anarchy,n.,state of disorder; absense of governing body,,,,
anoint,v.,rub or sprinkle oil on (during religious ceremony); to choose a particular office or position; make sacred,Temple priests were anointed with oil.,,,
anomaly,n.,an exception or unusual case; aberration; oddity; rarety,,,anomalous (adj.),
antagonize,v.,make hostile; alineate,,,antagonism (n.),
antipathy,n.,strong dislike; animosity; enimity; rancor; hostility; hatred,My antipathy for arguments makes me a peace-loving person .,,,
antiquity,n.,ancient past,The civilizations of antiquity is mysterious.,,,
antithetical,adj.,contrary to the very nature of; contrasted; contradictory; loving person,Antithetical forces of good and evil.,,antithesis (n.),
apathy,n.,state of total disinterest; lack of caring; unenthusiasm; lack of enthusiasm; indifference ,,,,
apocryphal,adj.,spurious; not authentict; false; counterfeit,,,,
apostate,n.,someone passionately renounces or abandons a belief or faith,,,apostasy (n.),
apostle,n.,follower; disciple; someone adheres to a belief or faith,,,,
appall,v.,dismay; shock,He appalled by horrible conditions of the jail.,,,
appease,v.,to placate; pacify; soothe; relieve; to satisfy a need or an appetite;,,,,
application,n.,diligent attention,,,,
apposite,adj.,appropriate; fitting,,,,
appreciated (by),v.,be thankful for; increase in worth,Stocks got appreciated as market recovered. ,,,
apprehensive,adj.,fearful; discerning,"Being apprehensive about impact of was, India preches the massage of peace.",,,
apprise,v.,inform,NASA appraised about danger of a solar storm.,,,
approbation,n.,approval ,Kids were looking for some form approbation from the parents.,,,
appropriate,v.,acquire; take possessions of own use.,Ranch owner appropriated the land.,,,
arbitrary,adj.,seemingly chosen or designated without reason or purpose,,,,
arcane,adj.,secret; mysterious; obscure; known to only to a selected group,arcane rituals,,,
archaic,adj.,old fashioned; antiquated; no longer in common usage; ancient; primitive,Methinks; thou are archaic words,,,
ardent,n.,ardor; zeal; passion; heat; fervor; eagerness,ardent enthusiasm ,,,
ardouous,adj,difficult; taxing; requiring considerable effort; hard; strenuous,arduous efforts,,,
arraign,v.,charge in court; indict,The criminal was arraigned for his crime.,,,
array,v.,marshal; draw up in order; clothe;adorn,Margaret array herself in finest cloths,,,
arrhythmic,adj.,lacking rhythm; lacking regularity; impending,,,,
articulate,adj.,fluent; exhibiting considerable communication skills; well spoken; effective speaking; distinct,,,,
artifact,n.,object made by human,,,,
artifice,n.,deception; trickery,,,,
artisan,n.,manually skilled; craftsman,,artist,,
artless,adj.,without artifice; without guile; deceit-free ; natural; untrained; honest,,,,
ascendency,n.,controlling influence,,,,
ascertain,v.,find out with certainty,,,,
ascetic,adj.,austere; self denying; practicing self-denial,,,,
ascribe,v.,refer; attribute; assign,,,,
asperity,n.,sharpness (of temper),,,,
aspersion,n.,slanderous remark,,,,
aspire,v.,long for; seek to attain,,,,
assail,v.,assault,Professor was assailed by questions after his lecture,,,
assay,v.,analyze; evaluate,,,,
assent,v.,accept; agree,Please assent my request,,,
assiduous,adj.,diligent,assiduous labopr pays of to bring the quality of the software,,,
assuage,v.,soothe; ease or lessen (pain); mitigate; alleviate; relieve; allay; palliate; abate; subdue; to satisfy a need or an appetite; appease,Richard tried to assuage his heartache,,,
astonishment,n.,total surprise; shock; great surprise; amazement; stupefaction; bafflement,Mary looked at Max in astonishment as he got into army.,,,
astringent,adj.,binding; causing contraction; harsh; severe,,,,
astute,adj.,wise; shrewed; keen,,,,
atone,v.,make amends; pay for,He should atone for his brutal crime,,,
atrophy,n.,wasting away,Polio victims need care to prevent atrophy of affected limbs,,,
attenuate,v.,make thinner; weaken; lessen,attenuate a signal,,,
atypical,adj.,not normal,,,,
audacious,adj.,very bold; presumptous; intrepid; daring,,trepid,,
audacious,adj.,rude; insensitive; disrespectful ; showing lack of respect,,,,
augment,v.,increase; add to; make larger,,,,
august,adj.,impressive; majestic,,,,
austere,adj,severe; unadorned; forbiddingly stern; severely simple; unornamented; ascetic,,,,
autocratic,adj.,"dictatorial; having absolute, uncontrolled power",,,,
autonomous,adj.,self-governing; independent ,,,,
avarice,n.,greed; greediness for wealth,,,,
avenge,v.,take vengeance (for something),,,,
aver,v.,to assert; to allege; assert confidently; declare,The psychic averted that he can predict the next earthquake,,,
averse,adj.,reluctant; disinclined,,,,
aversion,n.,firm dislike,,,,
avert,v.,turn away; prevent,,,,
avid,adj.,enthusiastic; dedicated; passionate; extremely desirous; greedy; eager for,Avid for learning computer programming,,,
avocation,n.,secondary or minor occupation,,,,
avow,v.,declare openly,,,,
baffle,v.,frustrate; perplex; impossible to understand,,,,
balk,v.,stop short (if faced obstacles),,,,
balk,v.,foil (spoil),,,,
banal,adj.,hackneyed; lacking; originality; boring; cliche; hackneyed; lack originality; common place; trite,The hack writer's wornout cliches made his comic sketch seem banal,,,
banish,v.,exile; expel; deport; eject; expatriate; extradite; repatriate,,,,
base,adj.,morally low; mean; dishonorable; counterfeit,,,,
beholden,adj.,indebted; owing; obliged; bound; obligated,Zoe declined to accept any favor to avoid being beholded.,,,
belie,v.,"give false impression (in word; appearence, or deed); contradict;contradict; misrepresent",His coarse hard bitten exterior belied his innate sensitivity.,,,
bellicose,adj.,warlike; pugnacious; natuarally inclined to fight,,,,
belligerent,adj.,quarrelsome,after drinking Ram become belligerent on cricket topics,,,
beneficient,adj.,kindly; benevolent; generous; charitable; doing good,,,,
benign,adj.,gentle; harmless; kindly favorable; not malignant,,,,
biased,adj.,prejudiced; displaying partiality,,,,
bigotry,n.,stubborn intolerance; prejudice; bias; partisanship ,,,,
bizzare,adj.,fantastic; violently contrasting,,,,
blemish,n.,defect; imperfection; fault; flaw,,,,
bohemian,adj.,unconventional (in an artistic way),Band singer lead a bohemian life,,,
boisterous,adj.,violent; rough; noisy,,,,
bolster,v.,renew; to shore up or support; reinforce; buttress,Lawyer bolster his argument with proof,,,
bombastic,adj.,"pompous, inflated language; over blown; theatrical",,,,
boon,n.,blessing; godsend; bonus,,,,
boorish,adj.,rude; insensitive,,,,
brazen,adj.,bold or open to point of shocking,,,,
brazen,adj.,shameless; insolent; impertinent; impudent; ill mannered,,,,
bucolic,adj.,pastoral; pustic; countrified,,,,
burgeon,v.,flourish;bloom; expand or increase or grow quickly; ,,,,
burnish,v.,make shiny by rubbing,,,,
buttress,v.,support; prop up; ,Debaters buttress their argument with proof,,,
bygone,adj.,past; former,,,,
cacophony,n.,loud; chaotic noise; atonality; discordant; inharmonious; clamor,,,,
calamitous,adj.,catastrophic; disastrous ,,,,
calumny,n.,lie; slander;malicious; misrepresentation ,,,,
candid,adj.,honest; open; sincere; candor; frankness,,,,
canon,n.,accepted rules and tenets of a discipline;,,,,
canon,n.,sacred scripture; sacred works; notable literary work and artistic works,,,,
canonical,adj.,authorized; recognized,,,,
capacity,n.,the capability to perform a particular action or fulfil a given function,,,,
capacity,n.,a particular position or role,She served in an advisory capacity,,,
capitulate,v.,surrender; give in; yield,the patriots had to capitulate to the enemy forces,,,
capricious,adj.,erratic; mercurial; unpredictable; whimsical; fickle; arbitrary,storm is capricious,,,
castigate,v.,to scold strongly; berate strongly; punish to correct,,,castigation (n.): punishment,
catalyst,n.,something that speeds up a process or causes action,,,,
caustic,adj.,corrosive; bitterly sarcastic; burning,,,,
censure,v.,to express intense condemnation; blame; criticize,,,,
chauvinist,n.,blindly devoted; someone who believes prejudicially that their own group is the best,,,,
chicanery,n.,trickery; deception,,,,
chronological,adj.,ordered by time,,,,
coalesce,v.,combine; fuse; to come together esp. from disparate parts,,,,
cogent,adj.,clearly laid out and persuasive; convincing,,,,
coinage,n.,creations,,,,
commensurate,adj.,in accordance with; proportional,,,,
compelling,adj.,captivating; very persuasive; overpowering; irresistable in effect,,,,
comport,v.,behave; act; perform,Ivy comported herself with great dignity.,,,
comprehensive,adj.,complete and thorough; inclusive,,,,
concede,v.,admit; acknowledge; accept; allow; grant; recognize,,,,
concede,v.,surrender; yield; give in; relinquish; cede; hand over,,,,
concur,v.,agree; accord; agreement,,,,
condone,v.,to approve or allow; overlook; forgive; excuse,,,,
confound,v.,to confuse; to puzzle; to astonish,No enigma could confound Turing for long.,,,
congruous,adj,harmonious,,,,
conjecture,n.,guess; speculation; surmise; fancy; notion; belief,,,,
connoisseur,n.,an expert in a particular subject matter area usually relating to the fine arts or cultural pursuits,,,,
consequential,adj.,as a result of; significant; memorable; pompous; self-important,,,,
construe,v.,explain; to interpret,,,,
consumption,n.,utilization (esp. of a resource),,,,
contemporary,n.,peer; fellow; living or occurring at the same time; present; current,,,,
contemptous,adj.,scornful; disdainful; disrespectful; insolent; insulting,,,,
contend,v.,assert earnestly; struggle; claim; grapple with; compete,,,,
contentious,adj.,controversial; involving conflict; quarrelsome,,,,
contrite,adj.,remorseful; penitent; showing regret for doing wrong,,,,
convoluted,adj.,roundabout; coiled around; not straightforward,,,,
copious,adj.,plentiful; abundant,,,,
cosmopolitan,adj.,of or relating to a city or urban area; sophisticated,,,,
covet,v.,avarice; to desire something that does not belong to you,,,,
craft,n.,cunning; artful; sly; skill,,,,
craven,adj.,cowardly to the point of being shameful,,,,
credence,n.,belief or trust,,,,
credulous,adj.,gullible; naive,,,,
curtail,v.,reduce; cut; cut down; cut back; decrease;lessen; diminish,Civil liberties are getting curtailed by religious organizations in middle-east.,,,
debase,v.,degrade; reduce in quality or value,,,,
debunk,v.,expose as false; ridicule; exagerrated claims,,,,
decorum,n.,appropriate behavior or good manners,,,,
deem,v.,judge; consider,,,,
deface,v.,vandalize; mar the appearance of; disfigure,,,,
deference,n.,respect or polite submission,,,,
defiant,adj,refusal to yield; resistence,,,defiance (n.),
deflect,v.,divert or cause to ricochet,,,,
deft,adj.,skillful; acumen; neat; manual dexterity,Deft waiter opened the champagne without spilling a drop,,deftness (n.),
deleterious,adj.,harmful; detrimental; unhealthy,,,,
delineate,v.,to describe accurately; portray; to clearly demarcate a boundary,"Using few words, Ray delineated the character of Mr Collins.",,,
delve,v.,dig; search; excavate,,,,
demur,n.,objection; protest; raise concerns,Critics accept Michael Angelo's claim without demur that Leo did not influence his work,,demur (v.),
denigrate,v.,say negative things about in a defamatory way; blacken; belittle,,,,
deride,v.,to mock; to ridicule; to make fun of; to scorn,Critics derided the pretentious dialogues and refused to take the play seriously,,,
derivative,adj.,imitating another's work; unoriginal; uninspiring; imitative; uninventive,,,,
desiccate,v.,to dry out completely; to suck out the vitality and passion,Dessicate to preserve food is an ancient practice.,,,
despicable,adj.,deserving hate; contemptible; loathsome; hateful; detestable; reprehensible,,,,
desultory,adj.,half-hearted; aimless; haphazard,reading dictionary is purposeful not desultory,,,
desultory,adj.,inconsistent; random; digressing at random,,,,
detachment,n.,objectivity or aloofness; emotionally removed,,,detached (adj.): disengaged,
determinant,n.,strong factor in an outcome,,,,
deterrent,n.,something that discourages; hinderance,Does the threat of capital punishment serve as a deterrent to killers?,,,
devious,adj.,roundabout; erratic; deceitful; dishonest,,,,
diatribe,n.,a rant or angry speech denouncing someone; bitter scolding; invective,,,,
dichotomy,n.,a division or contrast between two things; separation; divorce; split; branching into two parts,a rigid dichotomy between astrology and astronomy,,,
didactic,adj.,teaching; instructional; education often including a moral elements,Pope's lengthy poem is too didactic for my taste.,,didactism (n.),
diffident,adj.,shy; timid; reserved due to a lack of confidence,,,diffidence (n.),
diffuse,adj.,spread like gas; wordy; rambling,If you pay author by number of words; they will diffuse the manuscripts.,,,
digression,n.,wandering away from subject,Nobody minded when Professor Renoir's lectures digressed from topic.,,,
dilettante,n.,amateur; nonserious,,,,
din,n.,loud; confused; noise,,,,
dirge,n.,"funeral; mourning lament; sad, slow song",,,,
disabuse,v.,to dispel someone's illusions or false impressions,,,,
disaffected,adj.,disloyal; discontented towards authorities,,,,
disaffection,n.,discontent; dissatisfaction,,,,
dissent,v.,disagree,,,,
discern,v.,to perceive; mentally quick and observant; having insight; having good judgement,,,,
discernible,adj.,distinguishable; perceivable,The ships in the harbor was discernible in fog,,,
discordant,adj.,not harmonious; conflicting,,,,
